,user_id,sign_up_date
0,59a6c127e66d0507dc382dac,2017-08-30
1,5af8d15ce66d031e78734b0a,2018-05-13
2,5c4914c5e66d0315b4188471,2019-01-24
5,5c49c57ae66d0315b47b1ae6,2019-01-24
6,5c49f724e66d0315b4bbe40b,2019-01-24
9,5c49d7a3e66d0315b49263df,2019-01-24
12,5c491e20e66d0315b41be153,2019-01-24
13,59a832eae66d0713bcd068ee,2017-08-31
15,59a80b9fe66d0713bcd05308,2017-08-31
16,5af96e9ae66d031e7873ab36,2018-05-14
17,5afa16dfe66d031e78747a9f,2018-05-14
21,5af9ce6ce66d031e78741556,2018-05-14
22,5af97c19e66d031e7873b8f6,2018-05-14
24,5af96fcfe66d0313d87dbaab,2018-05-14
27,5c4b3006e66d03155c322668,2019-01-25
32,5c4b023ae66d03155c08774b,2019-01-25
34,59a9e4b6e66d030e0cefa810,2017-09-01
38,5afabd63e66d032374939796,2018-05-15
47,5afa5d42e66d032374932d17,2018-05-15
48,5afb1e4be66d032374943fc0,2018-05-15
57,5afae9c4e66d03228cdf1cb9,2018-05-15
60,5c4c15aae66d031524402606,2019-01-26
65,5c4c4625e66d0315244db017,2019-01-26
67,5c4c8f33e66d0315246d35d3,2019-01-26
68,5c4c5d0be66d0315245ce4b7,2019-01-26
70,58588e0ae66d0318d889a131,2016-12-20
71,5afc2ceee66d03161c1cc63b,2018-05-16
72,5afc38f4e66d0305a407d7c6,2018-05-16
74,5c4e449ae66d03146c2a6e1d,2019-01-27
75,5c4d1debe66d031524824978,2019-01-27
76,5c4e3119e66d03146c25d3b0,2019-01-27
77,585af4c2e66d0306f89d18b4,2016-12-21
83,59ac603de66d030e40db7442,2017-09-03
84,59abd450e66d0308dc29e454,2017-09-03
89,5afd9f32e66d03220480a7f2,2018-05-17
97,5c4f50b2e66d031a904777fb,2019-01-28
98,59ada5f2e66d040e40dcd305,2017-09-04
102,5aff2958e66d030b0cdc55cc,2018-05-18
104,5afef274e66d032204821a5f,2018-05-18
106,5afefb75e66d030a2800a5e6,2018-05-18
107,5c5075c3e66d031a90281508,2019-01-29
108,59af1a41e66d03187026c4f3,2017-09-05
109,5b00a416e66d031c8c8b2ed9,2018-05-19
110,5aff81a3e66d030b0cdca857,2018-05-19
